,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
17,0.0175,https://api.spotify.com/v1/audio-analysis/5gJuYEQXBOgBeRmjW6ZP0W,0.926,410676,0.912,5gJuYEQXBOgBeRmjW6ZP0W,0.652,8,0.207,-6.029,1,0.18,122.009,4,https://api.spotify.com/v1/tracks/5gJuYEQXBOgBeRmjW6ZP0W,audio_features,spotify:track:5gJuYEQXBOgBeRmjW6ZP0W,0.873
18,0.00737,https://api.spotify.com/v1/audio-analysis/1VpjI4p4JDikZKEAMyes5X,0.667,198712,0.828,1VpjI4p4JDikZKEAMyes5X,0.0716,10,0.058,-6.162,0,0.0477,123.043,4,https://api.spotify.com/v1/tracks/1VpjI4p4JDikZKEAMyes5X,audio_features,spotify:track:1VpjI4p4JDikZKEAMyes5X,0.458
19,0.086,https://api.spotify.com/v1/audio-analysis/3uN4jpCB7vrHcKc9NNSDxd,0.719,162960,0.637,3uN4jpCB7vrHcKc9NNSDxd,0.000778,0,0.112,-6.817,1,0.0286,125.001,4,https://api.spotify.com/v1/tracks/3uN4jpCB7vrHcKc9NNSDxd,audio_features,spotify:track:3uN4jpCB7vrHcKc9NNSDxd,0.142
20,0.0281,https://api.spotify.com/v1/audio-analysis/4wpehWAKwqmOUVVFMpzHco,0.788,202105,0.625,4wpehWAKwqmOUVVFMpzHco,0.0,11,0.242,-5.544,0,0.0377,114.025,4,https://api.spotify.com/v1/tracks/4wpehWAKwqmOUVVFMpzHco,audio_features,spotify:track:4wpehWAKwqmOUVVFMpzHco,0.581
21,0.00498,https://api.spotify.com/v1/audio-analysis/2kixBpLHfzjbmnsK3o9LB1,0.572,174385,0.71,2kixBpLHfzjbmnsK3o9LB1,0.000327,4,0.109,-9.457,0,0.0779,119.944,4,https://api.spotify.com/v1/tracks/2kixBpLHfzjbmnsK3o9LB1,audio_features,spotify:track:2kixBpLHfzjbmnsK3o9LB1,0.128
22,0.0322,https://api.spotify.com/v1/audio-analysis/4jWLcWcB6l4V1wj0LqX7nU,0.831,344000,0.665,4jWLcWcB6l4V1wj0LqX7nU,0.529,6,0.0426,-9.195,1,0.0475,120.012,4,https://api.spotify.com/v1/tracks/4jWLcWcB6l4V1wj0LqX7nU,audio_features,spotify:track:4jWLcWcB6l4V1wj0LqX7nU,0.755
23,0.0256,https://api.spotify.com/v1/audio-analysis/3AK5UMVgyhxHIl1WRGlq8G,0.688,207462,0.88,3AK5UMVgyhxHIl1WRGlq8G,0.405,4,0.122,-4.453,1,0.0438,125.059,4,https://api.spotify.com/v1/tracks/3AK5UMVgyhxHIl1WRGlq8G,audio_features,spotify:track:3AK5UMVgyhxHIl1WRGlq8G,0.665
24,0.0126,https://api.spotify.com/v1/audio-analysis/6HxtmGF8KLI0wkQ1QBDfj7,0.746,180480,0.854,6HxtmGF8KLI0wkQ1QBDfj7,2.15e-05,2,0.0878,-3.398,0,0.0277,124.983,4,https://api.spotify.com/v1/tracks/6HxtmGF8KLI0wkQ1QBDfj7,audio_features,spotify:track:6HxtmGF8KLI0wkQ1QBDfj7,0.795
25,0.0602,https://api.spotify.com/v1/audio-analysis/6bUySfDVvfZajoHNUnuOtr,0.75,336462,0.825,6bUySfDVvfZajoHNUnuOtr,0.121,9,0.216,-5.754,0,0.19,121.007,4,https://api.spotify.com/v1/tracks/6bUySfDVvfZajoHNUnuOtr,audio_features,spotify:track:6bUySfDVvfZajoHNUnuOtr,0.593
26,0.0731,https://api.spotify.com/v1/audio-analysis/5WgdwsmwydEm5tCYyPsyXJ,0.835,191611,0.899,5WgdwsmwydEm5tCYyPsyXJ,0.000282,5,0.12,-6.123,0,0.0298,121.994,4,https://api.spotify.com/v1/tracks/5WgdwsmwydEm5tCYyPsyXJ,audio_features,spotify:track:5WgdwsmwydEm5tCYyPsyXJ,0.71
27,0.0851,https://api.spotify.com/v1/audio-analysis/5fYRcOtf1WLZL6YeBdzL7A,0.779,251768,0.456,5fYRcOtf1WLZL6YeBdzL7A,5.3e-05,1,0.151,-6.751,0,0.0563,123.992,4,https://api.spotify.com/v1/tracks/5fYRcOtf1WLZL6YeBdzL7A,audio_features,spotify:track:5fYRcOtf1WLZL6YeBdzL7A,0.734
28,0.0726,https://api.spotify.com/v1/audio-analysis/2AzaiwvjOHlsi6HP3xKW5g,0.863,264480,0.552,2AzaiwvjOHlsi6HP3xKW5g,0.0122,1,0.109,-9.241,0,0.0466,118.003,4,https://api.spotify.com/v1/tracks/2AzaiwvjOHlsi6HP3xKW5g,audio_features,spotify:track:2AzaiwvjOHlsi6HP3xKW5g,0.363
29,0.0181,https://api.spotify.com/v1/audio-analysis/5GqEQyvh2C3clTVKcRUTxV,0.733,282581,0.668,5GqEQyvh2C3clTVKcRUTxV,0.0807,5,0.0667,-7.973,1,0.0341,123.997,4,https://api.spotify.com/v1/tracks/5GqEQyvh2C3clTVKcRUTxV,audio_features,spotify:track:5GqEQyvh2C3clTVKcRUTxV,0.743
30,0.0347,https://api.spotify.com/v1/audio-analysis/4KIRwu4D5550q8qN3uflMD,0.692,208043,0.873,4KIRwu4D5550q8qN3uflMD,7.51e-05,7,0.118,-5.559,1,0.0341,124.02,4,https://api.spotify.com/v1/tracks/4KIRwu4D5550q8qN3uflMD,audio_features,spotify:track:4KIRwu4D5550q8qN3uflMD,0.518
31,0.0935,https://api.spotify.com/v1/audio-analysis/5ahvjrjn7ymaeaWKFZrsca,0.612,210376,0.761,5ahvjrjn7ymaeaWKFZrsca,0.355,11,0.146,-6.783,0,0.307,124.928,4,https://api.spotify.com/v1/tracks/5ahvjrjn7ymaeaWKFZrsca,audio_features,spotify:track:5ahvjrjn7ymaeaWKFZrsca,0.46
